timestamp,epoch,train_box_loss,train_seg_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_seg_loss,val_cls_loss,val_dfl_loss,metrics_precision_B,metrics_recall_B,metrics_mAP50_B,metrics_mAP50_95_B,lr_pg0,lr_pg1,lr_pg2
2025-07-29 01:10:01,1,0.65662,1.34968,2.739,2.17668,0.50859,4.87584,2.95948,1.99211,0.60347,0.64953,0.63625,0.49859,0.0667465,3.32868e-05,3.32868e-05
2025-07-29 01:27:31,2,0.58806,1.12206,2.06516,2.04351,0.4228,1.42608,2.02852,1.84109,0.79467,0.7381,0.80503,0.66433,0.0334465,6.65749e-05,6.65749e-05
2025-07-29 01:44:43,3,0.56397,1.0453,1.80793,1.98537,0.4142,0.73746,1.82748,1.78812,0.78392,0.78113,0.82622,0.68974,0.000146237,9.96824e-05,9.96824e-05
2025-07-29 02:01:44,4,0.53825,0.98346,1.62013,1.93071,0.40701,0.74716,1.76266,1.77519,0.77336,0.79393,0.82504,0.68772,9.93906e-05,9.93906e-05,9.93906e-05
2025-07-29 02:18:56,5,0.51483,0.93153,1.49405,1.88441,0.3948,0.68611,1.66475,1.72253,0.82261,0.79561,0.85637,0.72158,9.89183e-05,9.89183e-05,9.89183e-05
2025-07-29 02:32:57,6,0.49871,0.89359,1.36509,1.84943,0.38664,0.6823,1.55054,1.71575,0.82368,0.80962,0.86572,0.73278,9.83133e-05,9.83133e-05,9.83133e-05
2025-07-29 02:43:57,7,0.48467,0.86857,1.29731,1.82409,0.37243,0.66309,1.4397,1.67631,0.83768,0.8389,0.87667,0.75239,9.75773e-05,9.75773e-05,9.75773e-05
